Year,m,d,Time,Time zone,Air temperature (degC)
2022,8,17,00:00,UTC,23.3
2022,8,18,00:00,UTC,23.4
2022,8,19,00:00,UTC,24.5
2022,8,20,00:00,UTC,22.3
2022,8,21,00:00,UTC,19.5
2022,8,22,00:00,UTC,17.6
2022,8,23,00:00,UTC,19
2022,8,24,00:00,UTC,20.1
2022,8,25,00:00,UTC,15.6
2022,8,26,00:00,UTC,15.2
2022,8,27,00:00,UTC,19
2022,8,28,00:00,UTC,18.9
2022,8,29,00:00,UTC,13.4
2022,8,30,00:00,UTC,12.3
2022,8,31,00:00,UTC,9.4
2022,9,1,00:00,UTC,9.3
2022,9,2,00:00,UTC,8.1
2022,9,3,00:00,UTC,7.9
2022,9,4,00:00,UTC,8.5
2022,9,5,00:00,UTC,8.5
2022,9,6,00:00,UTC,10.3
2022,9,7,00:00,UTC,8.6
2022,9,8,00:00,UTC,7.3
2022,9,9,00:00,UTC,8.5
2022,9,10,00:00,UTC,9.4
2022,9,11,00:00,UTC,10.4
2022,9,12,00:00,UTC,9.9
2022,9,13,00:00,UTC,10.1
2022,9,14,00:00,UTC,11.9
2022,9,15,00:00,UTC,11.6
2022,9,16,00:00,UTC,10.7
2022,9,17,00:00,UTC,10.3
