Year,m,d,Time,Time zone,Direct solar radiation (W/m2)
2021,12,15,00:00,UTC,1
2021,12,15,00:01,UTC,0.9
2021,12,15,00:02,UTC,1.1
2021,12,15,00:03,UTC,1.3
2021,12,15,00:04,UTC,1.5
2021,12,15,00:05,UTC,1.6
2021,12,15,00:06,UTC,1.4
2021,12,15,00:07,UTC,1.5
2021,12,15,00:08,UTC,1.3
2021,12,15,00:09,UTC,1.4
2021,12,15,00:10,UTC,1.8
2021,12,15,00:11,UTC,2.3
2021,12,15,00:12,UTC,2.4
2021,12,15,00:13,UTC,2.3
2021,12,15,00:14,UTC,2.5
2021,12,15,00:15,UTC,2.6
2021,12,15,00:16,UTC,2.4
2021,12,15,00:17,UTC,2.3
2021,12,15,00:18,UTC,2.2
2021,12,15,00:19,UTC,2.4
2021,12,15,00:20,UTC,2.4
2021,12,15,00:21,UTC,2.2
2021,12,15,00:22,UTC,1.9
2021,12,15,00:23,UTC,1.7
2021,12,15,00:24,UTC,1.8
2021,12,15,00:25,UTC,1.8
2021,12,15,00:26,UTC,2.1
2021,12,15,00:27,UTC,1.8
2021,12,15,00:28,UTC,1.9
2021,12,15,00:29,UTC,2
2021,12,15,00:30,UTC,1.8
2021,12,15,00:31,UTC,1.6
2021,12,15,00:32,UTC,1.3
2021,12,15,00:33,UTC,1
2021,12,15,00:34,UTC,0.9
2021,12,15,00:35,UTC,1.1
2021,12,15,00:36,UTC,1
2021,12,15,00:37,UTC,1
2021,12,15,00:38,UTC,1
2021,12,15,00:39,UTC,1.1
2021,12,15,00:40,UTC,0.9
2021,12,15,00:41,UTC,0.8
2021,12,15,00:42,UTC,0.9
2021,12,15,00:43,UTC,0.9
2021,12,15,00:44,UTC,1.1
2021,12,15,00:45,UTC,1
2021,12,15,00:46,UTC,1
2021,12,15,00:47,UTC,1.2
2021,12,15,00:48,UTC,0.9
2021,12,15,00:49,UTC,1
2021,12,15,00:50,UTC,0.9
2021,12,15,00:51,UTC,0.9
2021,12,15,00:52,UTC,0.8
2021,12,15,00:53,UTC,0.8
2021,12,15,00:54,UTC,0.7
2021,12,15,00:55,UTC,0.6
2021,12,15,00:56,UTC,0.8
2021,12,15,00:57,UTC,0.8
2021,12,15,00:58,UTC,0.7
2021,12,15,00:59,UTC,0.8
2021,12,15,01:00,UTC,0.7
2021,12,15,01:01,UTC,0.6
2021,12,15,01:02,UTC,1
2021,12,15,01:03,UTC,1
2021,12,15,01:04,UTC,1
2021,12,15,01:05,UTC,1.1
2021,12,15,01:06,UTC,1
2021,12,15,01:07,UTC,1.1
2021,12,15,01:08,UTC,1.1
2021,12,15,01:09,UTC,1.2
2021,12,15,01:10,UTC,0.9
